date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
25/10/2015,21,17,2,7.206,3.227,2.858,16,15,0,-1
31/10/2015,6,13,0,7.2,3.223,3.546,1,6,-1,-1
31/10/2015,7,15,1,8.606,3.42,2.281,10,4,-1,1
31/10/2015,17,20,1,7.429,3.236,3.018,15,9,-1,1
31/10/2015,22,0,0,9.391,3.952,2.087,8,3,1,-1
31/10/2015,24,26,2,7.565,3.216,2.817,19,12,0,-1
31/10/2015,25,12,0,7.734,3.234,2.642,13,14,1,0
01/11/2015,8,21,2,6.858,3.947,6.504,11,16,0,1
01/11/2015,19,2,2,6.871,3.86,5.794,7,20,1,0
02/11/2015,23,1,2,6.486,4.191,7.384,5,17,1,1
07/11/2015,2,17,0,6.962,3.292,3.247,18,15,-1,1
07/11/2015,12,24,2,6.711,3.434,4.056,14,19,1,-1
07/11/2015,18,22,2,7.153,3.235,2.902,18,8,-1,0
07/11/2015,20,6,2,8.132,3.45,2.265,9,1,0,1
07/11/2015,21,19,0,8.928,3.765,2.126,16,7,1,0
07/11/2015,26,8,1,7.229,3.289,2.771,12,11,1,1
08/11/2015,0,23,1,6.637,3.672,4.607,3,5,-1,-1
08/11/2015,13,7,0,6.581,3.513,5.223,6,10,0,1
21/11/2015,6,18,2,6.384,4.318,7.6,1,20,1,0
21/11/2015,8,1,2,6.421,3.755,5.8,11,17,-1,-1
21/11/2015,14,13,0,6.506,3.613,5.041,2,6,1,-1
21/11/2015,17,12,0,7.056,3.392,2.57,15,14,-1,0
21/11/2015,19,20,0,6.433,3.596,5.818,7,9,0,1
21/11/2015,22,2,1,6.628,3.316,4.144,8,18,-1,1
21/11/2015,24,15,0,8.269,3.475,2.254,20,4,-1,-1
21/11/2015,25,0,2,10.233,4.524,2.091,13,3,-1,1
22/11/2015,23,26,2,6.338,3.812,5.688,5,12,0,1
23/11/2015,7,21,0,6.098,3.657,5.957,10,16,1,1
28/11/2015,1,24,0,7.984,3.139,2.78,17,20,0,-1
28/11/2015,2,8,1,8.137,3.392,2.521,18,11,0,0
28/11/2015,7,17,2,7.295,3.566,4.786,10,15,-1,1
28/11/2015,12,15,1,8.078,3.355,2.462,14,4,1,-1
