Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
24/10/2015,West Ham,Chelsea,W,8.251,3.646,2.194,12,1,1,0
25/10/2015,Bournemouth,Tottenham,L,7.875,3.337,2.369,20,5,-1,1
25/10/2015,Liverpool,Southampton,D,6.831,3.315,3.64,6,7,-1,-1
25/10/2015,Man United,Man City,D,7.261,3.273,2.794,4,2,-1,0
25/10/2015,Sunderland,Newcastle,W,7.206,3.227,2.858,16,15,0,-1
31/10/2015,Chelsea,Liverpool,L,7.2,3.223,3.546,1,6,-1,-1
31/10/2015,Crystal Palace,Man United,D,8.606,3.42,2.281,10,4,-1,1
31/10/2015,Man City,Norwich,W,6.882,5.307,10.254,2,20,-1,-1
31/10/2015,Newcastle,Stoke,D,7.429,3.236,3.018,15,9,-1,1
31/10/2015,Swansea,Arsenal,L,9.391,3.952,2.087,8,3,1,-1
31/10/2015,Watford,West Ham,W,7.565,3.216,2.817,20,12,0,-1
31/10/2015,West Brom,Leicester,L,7.734,3.234,2.642,13,14,1,0
01/11/2015,Everton,Sunderland,W,6.858,3.947,6.504,11,16,0,1
01/11/2015,Southampton,Bournemouth,W,6.871,3.86,5.794,7,20,1,0
02/11/2015,Tottenham,Aston Villa,W,6.486,4.191,7.384,5,17,1,1
07/11/2015,Bournemouth,Newcastle,L,6.962,3.292,3.247,20,15,-1,1
07/11/2015,Leicester,Watford,W,6.711,3.434,4.056,14,20,1,-1
07/11/2015,Man United,West Brom,W,6.474,4.48,9.794,4,13,0,0
07/11/2015,Norwich,Swansea,W,7.153,3.235,2.902,20,8,-1,0
07/11/2015,Stoke,Chelsea,W,8.132,3.45,2.265,9,1,0,1
07/11/2015,Sunderland,Southampton,L,8.928,3.765,2.126,16,7,1,0
07/11/2015,West Ham,Everton,D,7.229,3.289,2.771,12,11,1,1
08/11/2015,Arsenal,Tottenham,D,6.637,3.672,4.607,3,5,-1,-1
08/11/2015,Aston Villa,Man City,D,11.184,4.951,2.112,17,2,-1,-1
08/11/2015,Liverpool,Crystal Palace,L,6.581,3.513,5.223,6,10,0,1
21/11/2015,Chelsea,Norwich,W,6.384,4.318,7.6,1,20,1,0
21/11/2015,Everton,Aston Villa,W,6.421,3.755,5.8,11,17,-1,-1
21/11/2015,Man City,Liverpool,L,6.506,3.613,5.041,2,6,1,-1
21/11/2015,Newcastle,Leicester,L,7.056,3.392,2.57,15,14,-1,0
21/11/2015,Southampton,Stoke,L,6.433,3.596,5.818,7,9,0,1
21/11/2015,Swansea,Bournemouth,D,6.628,3.316,4.144,8,20,-1,1
21/11/2015,Watford,Man United,L,8.269,3.475,2.254,20,4,-1,-1
21/11/2015,West Brom,Arsenal,W,10.233,4.524,2.091,13,3,-1,1
22/11/2015,Tottenham,West Ham,W,6.338,3.812,5.688,5,12,0,1
23/11/2015,Crystal Palace,Sunderland,L,6.098,3.657,5.957,10,16,1,1
28/11/2015,Aston Villa,Watford,L,7.984,3.139,2.78,17,20,0,-1
28/11/2015,Bournemouth,Everton,D,8.137,3.392,2.521,20,11,0,0
28/11/2015,Crystal Palace,Newcastle,W,7.295,3.566,4.786,10,15,-1,1
28/11/2015,Leicester,Man United,D,8.078,3.355,2.462,14,4,1,-1
28/11/2015,Man City,Southampton,W,7.224,3.912,5.553,2,7,0,1
28/11/2015,Sunderland,Stoke,W,8.275,3.23,2.515,16,9,-1,1
29/11/2015,Liverpool,Swansea,W,7.077,4.069,6.776,6,8,1,-1
29/11/2015,Norwich,Arsenal,D,10.402,4.382,2.043,20,3,0,1
29/11/2015,Tottenham,Chelsea,D,7.79,3.246,2.817,5,1,-1,-1
29/11/2015,West Ham,West Brom,D,7.501,3.219,3.646,12,13,0,1
05/12/2015,Arsenal,Sunderland,W,6.974,5.24,11.193,3,16,0,-1
05/12/2015,Chelsea,Bournemouth,L,6.936,4.562,8.237,1,20,1,-1
05/12/2015,Man United,West Ham,D,6.934,4.041,7.827,4,12,1,0
05/12/2015,Southampton,Aston Villa,D,6.96,3.845,6.565,7,17,0,1
05/12/2015,Stoke,Man City,W,9.723,3.995,2.085,9,2,-1,0
05/12/2015,Swansea,Leicester,L,7.763,3.271,2.684,8,14,-1,1
05/12/2015,Watford,Norwich,W,7.332,3.216,3.432,20,20,-1,-1
05/12/2015,West Brom,Tottenham,D,9.117,3.606,2.172,13,5,1,-1
06/12/2015,Newcastle,Liverpool,W,10.125,4.273,2.062,15,6,1,1
07/12/2015,Everton,Crystal Palace,D,7.056,3.301,3.52,11,10,-1,1
12/12/2015,Bournemouth,Man United,W,8.561,3.329,2.415,20,4,-1,1
12/12/2015,Crystal Palace,Southampton,W,7.979,3.165,2.882,10,7,-1,-1
12/12/2015,Man City,Swansea,W,7.313,5.032,9.573,2,8,-1,0
12/12/2015,Norwich,Everton,D,8.24,3.351,2.564,20,11,0,1
12/12/2015,Sunderland,Watford,L,8.178,3.157,2.689,16,20,-1,1
12/12/2015,West Ham,Stoke,D,8.016,3.148,2.838,12,9,0,1
13/12/2015,Aston Villa,Arsenal,L,11.004,4.377,2.079,17,3,0,1
13/12/2015,Liverpool,West Brom,D,7.26,4.15,8.18,6,13,1,0
13/12/2015,Tottenham,Newcastle,L,7.407,4.577,7.911,5,15,-1,0
14/12/2015,Leicester,Chelsea,W,8.202,3.388,2.438,14,1,-1,1
19/12/2015,Chelsea,Sunderland,W,7.178,4.844,10.134,1,16,-1,1
19/12/2015,Everton,Leicester,L,7.559,3.393,3.344,11,14,-1,-1
19/12/2015,Man United,Norwich,L,7.161,4.037,7.228,4,20,1,0
19/12/2015,Newcastle,Aston Villa,D,7.365,3.247,3.71,15,17,-1,1
19/12/2015,Southampton,Tottenham,L,7.942,3.235,2.74,7,5,-1,1
19/12/2015,Stoke,Crystal Palace,L,7.792,3.127,2.992,9,10,1,1
