Date,Home Team,Away Team,Bet Amount,Odds,Profit,Win/Loss,Bet_0,Bet_00-10,Bet_10-20,Bet_20-30,Bet_30-40,Bet_50-60,Bet_60-70,Bet_70-80,Bet_Other,Bet_gols
2022-07-01,527,531,10,1.57,5.700000000000001,1,False,False,False,False,False,False,True,False,False,False
2022-07-01,117,218,10,1.5,5.0,1,False,False,True,False,False,False,False,False,False,False
2022-07-01,117,218,10,1.5,5.0,1,False,False,False,True,False,False,False,False,False,False
2022-07-01,594,1061,10,1.61,6.100000000000001,0,False,False,False,False,False,False,False,False,False,True
2022-07-01,455,84,10,1.57,5.700000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-01,274,550,10,1.57,5.700000000000001,1,False,False,True,False,False,False,False,False,False,False
2022-07-01,146,51,10,1.61,6.100000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-01,146,51,5,1.53,2.6500000000000004,1,False,False,False,False,False,False,True,False,False,False
2022-07-01,655,261,5,1.5,2.5,1,False,False,False,False,False,False,True,False,False,False
2022-07-01,291,1116,5,1.5,2.5,1,False,False,True,False,False,False,False,False,False,False
2022-07-01,259,899,5,1.57,2.8500000000000005,1,False,False,True,False,False,False,False,False,False,False
2022-07-01,202,754,5,1.5,2.5,1,False,False,False,False,False,False,True,False,False,False
2022-07-02,510,1065,10,1.61,6.100000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-04,186,181,10,1.44,4.399999999999999,1,False,False,True,False,False,False,False,False,False,False
2022-07-04,266,111,10,1.53,5.300000000000001,1,False,True,False,False,False,False,False,False,False,False
2022-07-04,304,529,10,1.57,5.700000000000001,1,False,True,False,False,False,False,False,False,False,False
2022-07-04,779,832,40,1.5,20.0,0,False,True,False,False,False,False,False,False,False,False
2022-07-04,304,529,10,1.44,4.399999999999999,1,False,False,False,False,False,False,True,False,False,False
2022-07-04,266,111,10,1.5,5.0,1,False,False,False,False,False,False,True,False,False,False
2022-07-04,418,694,10,1.44,4.399999999999999,1,False,False,True,False,False,False,False,False,False,False
2022-07-04,418,694,10,1.5,5.0,1,False,False,False,True,False,False,False,False,False,False
2022-07-04,418,694,10,1.4,4.0,1,False,False,False,False,False,False,True,False,False,False
2022-07-05,697,1030,10,1.44,4.399999999999999,1,False,False,False,False,False,False,True,False,False,False
2022-07-05,165,276,10,1.57,5.700000000000001,1,False,True,False,False,False,False,False,False,False,False
2022-07-05,616,219,10,1.5,5.0,1,False,False,False,True,False,False,False,False,False,False
2022-07-05,529,260,10,1.44,4.399999999999999,1,False,False,False,True,False,False,False,False,False,False
2022-07-05,1002,791,10,1.53,5.300000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-05,468,641,40,1.5,20.0,0,False,False,False,True,False,False,False,False,False,False
2022-07-05,616,219,10,1.44,4.399999999999999,1,False,False,False,False,False,False,True,False,False,False
2022-07-05,165,276,10,1.44,4.399999999999999,1,False,False,False,False,False,False,True,False,False,False
2022-07-06,858,707,10,1.5,5.0,1,False,False,False,False,False,False,True,False,False,False
2022-07-06,70,551,10,1.5,5.0,1,False,False,False,True,False,False,False,False,False,False
2022-07-06,265,1011,10,1.57,5.700000000000001,1,False,True,False,False,False,False,False,False,False,False
2022-07-06,223,1024,10,1.57,5.700000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-06,775,233,10,1.57,5.700000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-06,265,1011,10,1.53,5.300000000000001,1,False,False,False,False,False,False,True,False,False,False
2022-07-06,775,233,10,1.57,5.700000000000001,1,False,False,False,False,False,False,True,False,False,False
2022-07-06,334,480,5,1.61,3.0500000000000007,1,False,False,False,True,False,False,False,False,False,False
2022-07-06,681,1015,5,1.57,2.8500000000000005,0,False,False,True,False,False,False,False,False,False,False
2022-07-06,879,1103,5,1.57,2.8500000000000005,1,False,True,False,False,False,False,False,False,False,False
2022-07-06,665,215,5,1.53,2.6500000000000004,1,False,False,False,True,False,False,False,False,False,False
2022-07-06,879,1103,5,1.44,2.1999999999999997,1,False,False,False,False,False,False,True,False,False,False
2022-07-07,1066,214,10,1.57,5.700000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-07,1066,214,10,1.53,5.300000000000001,1,False,False,False,False,False,False,True,False,False,False
2022-07-07,592,525,10,1.53,5.300000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-07,990,993,10,1.53,5.300000000000001,1,False,True,False,False,False,False,False,False,False,False
2022-07-07,79,554,10,1.5,5.0,1,False,False,True,False,False,False,False,False,False,False
2022-07-07,780,549,10,1.57,5.700000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-08,165,626,10,1.44,4.399999999999999,1,False,False,False,False,False,False,True,False,False,False
2022-07-08,934,581,10,1.5,5.0,1,False,False,False,False,False,False,True,False,False,False
2022-07-08,18,106,10,1.66,6.599999999999998,1,False,False,True,False,False,False,False,False,False,False
2022-07-08,401,282,10,1.53,5.300000000000001,1,False,False,False,False,False,False,True,False,False,False
2022-07-08,247,146,10,1.61,6.100000000000001,1,False,False,True,False,False,False,False,False,False,False
2022-07-08,247,146,10,1.61,6.100000000000001,1,False,False,False,True,False,False,False,False,False,False
2022-07-08,1116,123,5,1.5,2.5,1,False,False,True,False,False,False,False,False,False,False
2022-07-08,225,826,5,1.53,2.6500000000000004,1,False,False,False,True,False,False,False,False,False,False
2022-07-08,887,929,5,1.53,2.6500000000000004,1,False,True,False,False,False,False,False,False,False,False
2022-07-09,347,178,10,1.53,5.300000000000001,1,False,False,True,False,False,False,False,False,False,False
